# Time-averaged data for fix rdf_C60_2_O_avg
# TimeStep Number-of-rows
# Row c_rdf_C60_2_O[1] c_rdf_C60_2_O[2] c_rdf_C60_2_O[3]
610000 150
58 4.71853 0 0
59 4.80059 0 0
60 4.88265 0 0
61 4.96471 0 0
62 5.04677 0 0
63 5.12883 0 0
64 5.21089 0 0
65 5.29296 0 0
66 5.37502 0 0
67 5.45708 0 0
68 5.53914 0 0
69 5.6212 0 0
70 5.70326 0 0
71 5.78532 0 0
72 5.86739 0 0
73 5.94945 0 0
74 6.03151 0 0
75 6.11357 0 0
76 6.19563 0 0
77 6.27769 0 0
78 6.35975 0 0
79 6.44181 0 0
80 6.52388 0 0
81 6.60594 0 0
82 6.688 0 0
83 6.77006 0 0
84 6.85212 0 0
85 6.93418 0 0
86 7.01624 0 0
87 7.09831 0 0
88 7.18037 0 0
89 7.26243 0 0
90 7.34449 0 0
91 7.42655 0 0
92 7.50861 0 0
93 7.59067 0 0
94 7.67273 0 0
95 7.7548 0 0
96 7.83686 0 0
97 7.91892 0 0
98 8.00098 0 0
99 8.08304 0 0
100 8.1651 0 0
101 8.24716 0 0
102 8.32923 0 0
103 8.41129 0 0
104 8.49335 0 0
105 8.57541 0 0
106 8.65747 0 0
107 8.73953 0 0
108 8.82159 0 0
109 8.90365 0 0
110 8.98572 0 0
111 9.06778 0 0
112 9.14984 0 0
113 9.2319 0 0
114 9.31396 0 0
115 9.39602 0 0
116 9.47808 0 0
117 9.56015 0 0
118 9.64221 0 0
119 9.72427 0 0
120 9.80633 0 0
121 9.88839 0 0
122 9.97045 0 0
123 10.0525 0 0
124 10.1346 0 0
125 10.2166 0 0
126 10.2987 0 0
127 10.3808 0 0
128 10.4628 0 0
129 10.5449 0 0
130 10.6269 0 0
131 10.709 0 0
132 10.7911 0 0
133 10.8731 0 0
134 10.9552 0 0
135 11.0372 0 0
136 11.1193 0 0
137 11.2014 0 0
138 11.2834 0 0
139 11.3655 0 0
140 11.4476 0 0
141 11.5296 0 0
142 11.6117 0 0
143 11.6937 0 0
144 11.7758 0 0
145 11.8579 0 0
146 11.9399 0 0
147 12.022 0 0
148 12.104 0 0
149 12.1861 0 0
150 12.2682 0 0
850000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0 0
35 2.83112 0 0
36 2.91318 0 0
37 2.99524 0 0
38 3.0773 0 0
39 3.15936 0 0
40 3.24142 0 0
41 3.32348 0 0
42 3.40555 0 0
43 3.48761 0 0
44 3.56967 0 0
45 3.65173 0 0
46 3.73379 0 0
47 3.81585 0 0
48 3.89791 0 0
49 3.97997 0 0
50 4.06204 0 0
51 4.1441 0 0
52 4.22616 0 0
53 4.30822 0 0
54 4.39028 0 0
55 4.47234 0 0
56 4.5544 0 0
57 4.63647 0 0
58 4.71853 0 0
59 4.80059 0 0
60 4.88265 0 0
61 4.96471 0 0
62 5.04677 0 0
63 5.12883 0 0
64 5.21089 0 0
65 5.29296 0 0
66 5.37502 0 0
67 5.45708 0 0
68 5.53914 0 0
69 5.6212 0 0
70 5.70326 0 0
71 5.78532 0 0
72 5.86739 0 0
73 5.94945 0 0
74 6.03151 0 0
75 6.11357 0 0
76 6.19563 0 0
77 6.27769 0 0
78 6.35975 0 0
79 6.44181 0 0
80 6.52388 0 0
81 6.60594 0 0
82 6.688 0 0
83 6.77006 0 0
84 6.85212 0 0
85 6.93418 0 0
86 7.01624 0 0
87 7.09831 0 0
88 7.18037 0 0
89 7.26243 0 0
90 7.34449 0 0
91 7.42655 0 0
92 7.50861 0 0
93 7.59067 0 0
94 7.67273 0 0
95 7.7548 0 0
96 7.83686 0 0
97 7.91892 0 0
98 8.00098 0 0
99 8.08304 0 0
100 8.1651 0 0
101 8.24716 0 0
102 8.32923 0 0
103 8.41129 0 0
104 8.49335 0 0
105 8.57541 0 0
106 8.65747 0 0
107 8.73953 0 0
108 8.82159 0 0
109 8.90365 0 0
110 8.98572 0 0
111 9.06778 0 0
112 9.14984 0 0
113 9.2319 0 0
114 9.31396 0 0
115 9.39602 0 0
116 9.47808 0 0
117 9.56015 0 0
118 9.64221 0 0
119 9.72427 0 0
120 9.80633 0 0
121 9.88839 0 0
122 9.97045 0 0
123 10.0525 0 0
124 10.1346 0 0
125 10.2166 0 0
126 10.2987 0 0
127 10.3808 0 0
128 10.4628 0 0
129 10.5449 0 0
130 10.6269 0 0
131 10.709 0 0
132 10.7911 0 0
133 10.8731 0 0
134 10.9552 0 0
135 11.0372 0 0
136 11.1193 0 0
137 11.2014 0 0
138 11.2834 0 0
139 11.3655 0 0
140 11.4476 0 0
141 11.5296 0 0
142 11.6117 0 0
143 11.6937 0 0
144 11.7758 0 0
145 11.8579 0 0
146 11.9399 0 0
147 12.022 0 0
148 12.104 0 0
149 12.1861 0 0
150 12.2682 0 0
860000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0 0
35 2.83112 0 0
36 2.91318 0 0
37 2.99524 0 0
38 3.0773 0 0
39 3.15936 0 0
40 3.24142 0 0
41 3.32348 0 0
42 3.40555 0 0
43 3.48761 0 0
44 3.56967 0 0
45 3.65173 0 0
46 3.73379 0 0
47 3.81585 0 0
48 3.89791 0 0
49 3.97997 0 0
50 4.06204 0 0
51 4.1441 0 0
52 4.22616 0 0
53 4.30822 0 0
54 4.39028 0 0
55 4.47234 0 0
56 4.5544 0 0
57 4.63647 0 0
58 4.71853 0 0
59 4.80059 0 0
60 4.88265 0 0
61 4.96471 0 0
62 5.04677 0 0
63 5.12883 0 0
64 5.21089 0 0
65 5.29296 0 0
66 5.37502 0 0
67 5.45708 0 0
68 5.53914 0 0
69 5.6212 0 0
70 5.70326 0 0
71 5.78532 0 0
72 5.86739 0 0
73 5.94945 0 0
74 6.03151 0 0
75 6.11357 0 0
76 6.19563 0 0
77 6.27769 0 0
78 6.35975 0 0
79 6.44181 0 0
80 6.52388 0 0
81 6.60594 0 0
82 6.688 0 0
83 6.77006 0 0
84 6.85212 0 0
85 6.93418 0 0
86 7.01624 0 0
87 7.09831 0 0
88 7.18037 0 0
89 7.26243 0 0
90 7.34449 0 0
91 7.42655 0 0
92 7.50861 0 0
93 7.59067 0 0
94 7.67273 0 0
95 7.7548 0 0
96 7.83686 0 0
97 7.91892 0 0
98 8.00098 0 0
99 8.08304 0 0
100 8.1651 0 0
101 8.24716 0 0
102 8.32923 0 0
103 8.41129 0 0
104 8.49335 0 0
105 8.57541 0 0
106 8.65747 0 0
107 8.73953 0 0
108 8.82159 0 0
109 8.90365 0 0
110 8.98572 0 0
111 9.06778 0 0
112 9.14984 0 0
113 9.2319 0 0
114 9.31396 0 0
115 9.39602 0 0
116 9.47808 0 0
117 9.56015 0 0
118 9.64221 0 0
119 9.72427 0 0
120 9.80633 0 0
121 9.88839 0 0
122 9.97045 0 0
123 10.0525 0 0
124 10.1346 0 0
125 10.2166 0 0
126 10.2987 0 0
127 10.3808 0 0
128 10.4628 0 0
129 10.5449 0 0
130 10.6269 0 0
131 10.709 0 0
132 10.7911 0 0
133 10.8731 0 0
134 10.9552 0 0
135 11.0372 0 0
136 11.1193 0 0
137 11.2014 0 0
138 11.2834 0 0
139 11.3655 0 0
140 11.4476 0 0
141 11.5296 0 0
142 11.6117 0 0
143 11.6937 0 0
144 11.7758 0 0
145 11.8579 0 0
146 11.9399 0 0
147 12.022 0 0
148 12.104 0 0
149 12.1861 0 0
150 12.2682 0 0
870000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0 0
35 2.83112 0 0
36 2.91318 0 0
37 2.99524 0 0
38 3.0773 0 0
39 3.15936 0 0
40 3.24142 0 0
41 3.32348 0 0
42 3.40555 0 0
43 3.48761 0 0
44 3.56967 0 0
45 3.65173 0 0
46 3.73379 0 0
47 3.81585 0 0
48 3.89791 0 0
49 3.97997 0 0
50 4.06204 0 0
51 4.1441 0 0
52 4.22616 0 0
53 4.30822 0 0
54 4.39028 0 0
55 4.47234 0 0
56 4.5544 0 0
57 4.63647 0 0
58 4.71853 0 0
59 4.80059 0 0
60 4.88265 0 0
61 4.96471 0 0
62 5.04677 0 0
63 5.12883 0 0
64 5.21089 0 0
65 5.29296 0 0
66 5.37502 0 0
67 5.45708 0 0
68 5.53914 0 0
69 5.6212 0 0
70 5.70326 0 0
71 5.78532 0 0
72 5.86739 0 0
73 5.94945 0 0
74 6.03151 0 0
75 6.11357 0 0
76 6.19563 0 0
77 6.27769 0 0
78 6.35975 0 0
79 6.44181 0 0
80 6.52388 0 0
81 6.60594 0 0
82 6.688 0 0
83 6.77006 0 0
84 6.85212 0 0
85 6.93418 0 0
86 7.01624 0 0
87 7.09831 0 0
88 7.18037 0 0
89 7.26243 0 0
90 7.34449 0 0
91 7.42655 0 0
92 7.50861 0 0
93 7.59067 0 0
94 7.67273 0 0
95 7.7548 0 0
96 7.83686 0 0
97 7.91892 0 0
98 8.00098 0 0
99 8.08304 0 0
100 8.1651 0 0
101 8.24716 0 0
102 8.32923 0 0
103 8.41129 0 0
104 8.49335 0 0
105 8.57541 0 0
106 8.65747 0 0
107 8.73953 0 0
108 8.82159 0 0
109 8.90365 0 0
110 8.98572 0 0
111 9.06778 0 0
112 9.14984 0 0
113 9.2319 0 0
114 9.31396 0 0
115 9.39602 0 0
116 9.47808 0 0
117 9.56015 0 0
118 9.64221 0 0
119 9.72427 0 0
120 9.80633 0 0
121 9.88839 0 0
122 9.97045 0 0
123 10.0525 0 0
124 10.1346 0 0
125 10.2166 0 0
126 10.2987 0 0
127 10.3808 0 0
128 10.4628 0 0
129 10.5449 0 0
130 10.6269 0 0
131 10.709 0 0
132 10.7911 0 0
133 10.8731 0 0
134 10.9552 0 0
135 11.0372 0 0
136 11.1193 0 0
137 11.2014 0 0
138 11.2834 0 0
139 11.3655 0 0
140 11.4476 0 0
141 11.5296 0 0
142 11.6117 0 0
143 11.6937 0 0
144 11.7758 0 0
145 11.8579 0 0
146 11.9399 0 0
147 12.022 0 0
148 12.104 0 0
149 12.1861 0 0
150 12.2682 0 0
880000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0 0
35 2.83112 0 0
36 2.91318 0 0
37 2.99524 0 0
38 3.0773 0 0
39 3.15936 0 0
40 3.24142 0 0
41 3.32348 0 0
42 3.40555 0 0
43 3.48761 0 0
44 3.56967 0 0
45 3.65173 0 0
46 3.73379 0 0
47 3.81585 0 0
48 3.89791 0 0
49 3.97997 0 0
50 4.06204 0 0
51 4.1441 0 0
52 4.22616 0 0
53 4.30822 0 0
54 4.39028 0 0
55 4.47234 0 0
56 4.5544 0 0
57 4.63647 0 0
58 4.71853 0 0
59 4.80059 0 0
60 4.88265 0 0
61 4.96471 0 0
62 5.04677 0 0
63 5.12883 0 0
64 5.21089 0 0
65 5.29296 0 0
66 5.37502 0 0
67 5.45708 0 0
68 5.53914 0 0
69 5.6212 0 0
70 5.70326 0 0
71 5.78532 0 0
72 5.86739 0 0
73 5.94945 0 0
74 6.03151 0 0
75 6.11357 0 0
76 6.19563 0 0
77 6.27769 0 0
78 6.35975 0 0
79 6.44181 0 0
80 6.52388 0 0
81 6.60594 0 0
82 6.688 0 0
83 6.77006 0 0
84 6.85212 0 0
85 6.93418 0 0
86 7.01624 0 0
87 7.09831 0 0
88 7.18037 0 0
89 7.26243 0 0
90 7.34449 0 0
91 7.42655 0 0
92 7.50861 0 0
93 7.59067 0 0
94 7.67273 0 0
95 7.7548 0 0
96 7.83686 0 0
97 7.91892 0 0
98 8.00098 0 0
99 8.08304 0 0
100 8.1651 0 0
101 8.24716 0 0
102 8.32923 0 0
103 8.41129 0 0
104 8.49335 0 0
105 8.57541 0 0
106 8.65747 0 0
107 8.73953 0 0
108 8.82159 0 0
109 8.90365 0 0
110 8.98572 0 0
111 9.06778 0 0
112 9.14984 0 0
113 9.2319 0 0
114 9.31396 0 0
115 9.39602 0 0
116 9.47808 0 0
117 9.56015 0 0
118 9.64221 0 0
119 9.72427 0 0
120 9.80633 0 0
121 9.88839 0 0
122 9.97045 0 0
123 10.0525 0 0
124 10.1346 0 0
125 10.2166 0 0
126 10.2987 0 0
127 10.3808 0 0
128 10.4628 0 0
129 10.5449 0 0
130 10.6269 0 0
131 10.709 0 0
132 10.7911 0 0
133 10.8731 0 0
134 10.9552 0 0
135 11.0372 0 0
136 11.1193 0 0
137 11.2014 0 0
138 11.2834 0 0
139 11.3655 0 0
140 11.4476 0 0
141 11.5296 0 0
142 11.6117 0 0
143 11.6937 0 0
144 11.7758 0 0
145 11.8579 0 0
146 11.9399 0 0
147 12.022 0 0
148 12.104 0 0
149 12.1861 0 0
150 12.2682 0 0
890000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0 0
35 2.83112 0 0
36 2.91318 0 0
37 2.99524 0 0
38 3.0773 0 0
39 3.15936 0 0
40 3.24142 0 0
41 3.32348 0 0
42 3.40555 0 0
43 3.48761 0 0
44 3.56967 0 0
45 3.65173 0 0
46 3.73379 0 0
47 3.81585 0 0
48 3.89791 0 0
49 3.97997 0 0
50 4.06204 0 0
51 4.1441 0 0
52 4.22616 0 0
53 4.30822 0 0
54 4.39028 0 0
55 4.47234 0 0
56 4.5544 0 0
57 4.63647 0 0
58 4.71853 0 0
59 4.80059 0 0
60 4.88265 0 0
61 4.96471 0 0
62 5.04677 0 0
63 5.12883 0 0
64 5.21089 0 0
65 5.29296 0 0
66 5.37502 0 0
67 5.45708 0 0
68 5.53914 0 0
69 5.6212 0 0
70 5.70326 0 0
71 5.78532 0 0
72 5.86739 0 0
73 5.94945 0 0
74 6.03151 0 0
75 6.11357 0 0
76 6.19563 0 0
77 6.27769 0 0
78 6.35975 0 0
79 6.44181 0 0
80 6.52388 0 0
81 6.60594 0 0
82 6.688 0 0
83 6.77006 0 0
84 6.85212 0 0
85 6.93418 0 0
86 7.01624 0 0
87 7.09831 0 0
88 7.18037 0 0
89 7.26243 0 0
90 7.34449 0 0
91 7.42655 0 0
92 7.50861 0 0
93 7.59067 0 0
94 7.67273 0 0
95 7.7548 0 0
96 7.83686 0 0
97 7.91892 0 0
98 8.00098 0 0
99 8.08304 0 0
100 8.1651 0 0
101 8.24716 0 0
102 8.32923 0 0
103 8.41129 0 0
104 8.49335 0 0
105 8.57541 0 0
106 8.65747 0 0
107 8.73953 0 0
108 8.82159 0 0
109 8.90365 0 0
110 8.98572 0 0
111 9.06778 0 0
112 9.14984 0 0
113 9.2319 0 0
114 9.31396 0 0
115 9.39602 0 0
116 9.47808 0 0
117 9.56015 0 0
118 9.64221 0 0
119 9.72427 0 0
120 9.80633 0 0
121 9.88839 0 0
122 9.97045 0 0
123 10.0525 0 0
124 10.1346 0 0
125 10.2166 0 0
126 10.2987 0 0
127 10.3808 0 0
128 10.4628 0 0
129 10.5449 0 0
130 10.6269 0 0
131 10.709 0 0
132 10.7911 0 0
133 10.8731 0 0
134 10.9552 0 0
135 11.0372 0 0
136 11.1193 0 0
137 11.2014 0 0
138 11.2834 0 0
139 11.3655 0 0
140 11.4476 0 0
141 11.5296 0 0
142 11.6117 0 0
143 11.6937 0 0
144 11.7758 0 0
145 11.8579 0 0
146 11.9399 0 0
147 12.022 0 0
148 12.104 0 0
149 12.1861 0 0
150 12.2682 0 0
900000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0 0
35 2.83112 0 0
36 2.91318 0 0
37 2.99524 0 0
38 3.0773 0 0
39 3.15936 0 0
40 3.24142 0 0
41 3.32348 0 0
42 3.40555 0 0
43 3.48761 0 0
44 3.56967 0 0
45 3.65173 0 0
46 3.73379 0 0
47 3.81585 0 0
48 3.89791 0 0
49 3.97997 0 0
50 4.06204 0 0
51 4.1441 0 0
52 4.22616 0 0
53 4.30822 0 0
54 4.39028 0 0
55 4.47234 0 0
56 4.5544 0 0
57 4.63647 0 0
58 4.71853 0 0
59 4.80059 0 0
60 4.88265 0 0
61 4.96471 0 0
62 5.04677 0 0
63 5.12883 0 0
64 5.21089 0 0
65 5.29296 0 0
66 5.37502 0 0
67 5.45708 0 0
68 5.53914 0 0
69 5.6212 0 0
70 5.70326 0 0
71 5.78532 0 0
72 5.86739 0 0
73 5.94945 0 0
74 6.03151 0 0
75 6.11357 0 0
76 6.19563 0 0
77 6.27769 0 0
78 6.35975 0 0
79 6.44181 0 0
80 6.52388 0 0
81 6.60594 0 0
82 6.688 0 0
83 6.77006 0 0
84 6.85212 0 0
85 6.93418 0 0
86 7.01624 0 0
87 7.09831 0 0
88 7.18037 0 0
89 7.26243 0 0
90 7.34449 0 0
91 7.42655 0 0
92 7.50861 0 0
93 7.59067 0 0
94 7.67273 0 0
95 7.7548 0 0
96 7.83686 0 0
97 7.91892 0 0
98 8.00098 0 0
99 8.08304 0 0
100 8.1651 0 0
101 8.24716 0 0
102 8.32923 0 0
103 8.41129 0 0
104 8.49335 0 0
105 8.57541 0 0
106 8.65747 0 0
107 8.73953 0 0
108 8.82159 0 0
109 8.90365 0 0
110 8.98572 0 0
111 9.06778 0 0
112 9.14984 0 0
113 9.2319 0 0
114 9.31396 0 0
115 9.39602 0 0
116 9.47808 0 0
117 9.56015 0 0
118 9.64221 0 0
119 9.72427 0 0
120 9.80633 0 0
121 9.88839 0 0
122 9.97045 0 0
123 10.0525 0 0
124 10.1346 0 0
125 10.2166 0 0
126 10.2987 0 0
127 10.3808 0 0
128 10.4628 0 0
129 10.5449 0 0
130 10.6269 0 0
131 10.709 0 0
132 10.7911 0 0
133 10.8731 0 0
134 10.9552 0 0
135 11.0372 0 0
136 11.1193 0 0
137 11.2014 0 0
138 11.2834 0 0
139 11.3655 0 0
140 11.4476 0 0
141 11.5296 0 0
142 11.6117 0 0
143 11.6937 0 0
144 11.7758 0 0
145 11.8579 0 0
146 11.9399 0 0
147 12.022 0 0
148 12.104 0 0
149 12.1861 0 0
150 12.2682 0 0
910000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0 0
35 2.83112 0 0
36 2.91318 0 0
37 2.99524 0 0
38 3.0773 0 0
39 3.15936 0 0
40 3.24142 0 0
41 3.32348 0 0
42 3.40555 0 0
43 3.48761 0 0
44 3.56967 0 0
45 3.65173 0 0
46 3.73379 0 0
47 3.81585 0 0
48 3.89791 0 0
49 3.97997 0 0
50 4.06204 0 0
51 4.1441 0 0
52 4.22616 0 0
53 4.30822 0 0
54 4.39028 0 0
55 4.47234 0 0
56 4.5544 0 0
57 4.63647 0 0
58 4.71853 0 0
59 4.80059 0 0
60 4.88265 0 0
61 4.96471 0 0
62 5.04677 0 0
63 5.12883 0 0
64 5.21089 0 0
65 5.29296 0 0
66 5.37502 0 0
67 5.45708 0 0
68 5.53914 0 0
69 5.6212 0 0
70 5.70326 0 0
71 5.78532 0 0
72 5.86739 0 0
73 5.94945 0 0
74 6.03151 0 0
75 6.11357 0 0
76 6.19563 0 0
77 6.27769 0 0
78 6.35975 0 0
79 6.44181 0 0
80 6.52388 0 0
81 6.60594 0 0
82 6.688 0 0
83 6.77006 0 0
84 6.85212 0 0
85 6.93418 0 0
86 7.01624 0 0
87 7.09831 0 0
88 7.18037 0 0
89 7.26243 0 0
90 7.34449 0 0
91 7.42655 0 0
92 7.50861 0 0
93 7.59067 0 0
94 7.67273 0 0
95 7.7548 0 0
96 7.83686 0 0
97 7.91892 0 0
98 8.00098 0 0
99 8.08304 0 0
100 8.1651 0 0
101 8.24716 0 0
102 8.32923 0 0
103 8.41129 0 0
104 8.49335 0 0
105 8.57541 0 0
106 8.65747 0 0
107 8.73953 0 0
108 8.82159 0 0
109 8.90365 0 0
110 8.98572 0 0
111 9.06778 0 0
112 9.14984 0 0
113 9.2319 0 0
114 9.31396 0 0
115 9.39602 0 0
116 9.47808 0 0
117 9.56015 0 0
118 9.64221 0 0
119 9.72427 0 0
120 9.80633 0 0
121 9.88839 0 0
122 9.97045 0 0
123 10.0525 0 0
124 10.1346 0 0
125 10.2166 0 0
126 10.2987 0 0
127 10.3808 0 0
128 10.4628 0 0
129 10.5449 0 0
130 10.6269 0 0
131 10.709 0 0
132 10.7911 0 0
133 10.8731 0 0
134 10.9552 0 0
135 11.0372 0 0
136 11.1193 0 0
137 11.2014 0 0
138 11.2834 0 0
139 11.3655 0 0
140 11.4476 0 0
141 11.5296 0 0
142 11.6117 0 0
143 11.6937 0 0
144 11.7758 0 0
145 11.8579 0 0
146 11.9399 0 0
147 12.022 0 0
148 12.104 0 0
149 12.1861 0 0
150 12.2682 0 0
920000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0 0
35 2.83112 0 0
36 2.91318 0 0
37 2.99524 0 0
38 3.0773 0 0
39 3.15936 0 0
40 3.24142 0 0
41 3.32348 0 0
42 3.40555 0 0
43 3.48761 0 0
44 3.56967 0 0
45 3.65173 0 0
46 3.73379 0 0
47 3.81585 0 0
48 3.89791 0 0
49 3.97997 0 0
50 4.06204 0 0
51 4.1441 0 0
52 4.22616 0 0
53 4.30822 0 0
54 4.39028 0 0
55 4.47234 0 0
56 4.5544 0 0
57 4.63647 0 0
58 4.71853 0 0
59 4.80059 0 0
60 4.88265 0 0
61 4.96471 0 0
62 5.04677 0 0
63 5.12883 0 0
64 5.21089 0 0
65 5.29296 0 0
66 5.37502 0 0
67 5.45708 0 0
68 5.53914 0 0
69 5.6212 0 0
70 5.70326 0 0
71 5.78532 0 0
72 5.86739 0 0
73 5.94945 0 0
74 6.03151 0 0
75 6.11357 0 0
76 6.19563 0 0
77 6.27769 0 0
78 6.35975 0 0
79 6.44181 0 0
80 6.52388 0 0
81 6.60594 0 0
82 6.688 0 0
83 6.77006 0 0
84 6.85212 0 0
85 6.93418 0 0
86 7.01624 0 0
87 7.09831 0 0
88 7.18037 0 0
89 7.26243 0 0
90 7.34449 0 0
91 7.42655 0 0
92 7.50861 0 0
93 7.59067 0 0
94 7.67273 0 0
95 7.7548 0 0
96 7.83686 0 0
97 7.91892 0 0
98 8.00098 0 0
99 8.08304 0 0
100 8.1651 0 0
101 8.24716 0 0
102 8.32923 0 0
103 8.41129 0 0
104 8.49335 0 0
105 8.57541 0 0
106 8.65747 0 0
107 8.73953 0 0
108 8.82159 0 0
109 8.90365 0 0
110 8.98572 0 0
111 9.06778 0 0
112 9.14984 0 0
113 9.2319 0 0
114 9.31396 0 0
115 9.39602 0 0
116 9.47808 0 0
117 9.56015 0 0
118 9.64221 0 0
119 9.72427 0 0
